Carimbo de data/hora,Endereço de e-mail,Nome:,Siape:,Regime,Disponibilidade das Segundas-Feiras [Manhã],Disponibilidade das Segundas-Feiras [Tarde],Disponibilidade das Segundas-Feiras [Noite],Disponibilidade das Terças-Feiras [Manhã],Disponibilidade das Terças-Feiras [Tarde],Disponibilidade das Terças-Feiras [Noite],Disponibilidade das Quartas-Feiras [Manhã],Disponibilidade das Quartas-Feiras [Tarde],Disponibilidade das Quartas-Feiras [Noite],Disponibilidade das Quintas-Feiras [Manhã],Disponibilidade das Quintas-Feiras [Tarde],Disponibilidade das Quintas-Feiras [Noite],Disponibilidade das Sextas-Feiras [Manhã],Disponibilidade das Sextas-Feiras [Tarde],Disponibilidade das Sextas-Feiras [Noite],Disponibilidade das Sábados [Manhã],Disponibilidade das Sábados [Tarde]
24/10/2018 18:55:10,meusejunior@recife.ifpe.edu.br,Person Name,siape number,DE- Dedicação Exclusiva,"Disponível  ""D""","Disponível  ""D""","Não Disponível ""ND""","Disponível  ""D""","Disponível  ""D""","Não Disponível ""ND""","Preferência ""P""","Preferência ""P""","Não Disponível ""ND""","Preferência ""P""","Preferência ""P""","Não Disponível ""ND""","Disponível  ""D""","Disponível  ""D""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND"""
24/10/2018 18:57:34,romuloaraujo@recife.ifpe.edu.br,Person Name,siape number,DE- Dedicação Exclusiva,"Disponível  ""D""","Preferência ""P""","Preferência ""P""","Disponível  ""D""","Preferência ""P""","Preferência ""P""","Disponível  ""D""","Preferência ""P""","Disponível  ""D""","Disponível  ""D""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND"""
24/10/2018 21:40:07,abcd@gmail.com,Person Name,siape number,DE- Dedicação Exclusiva,"Disponível  ""D""","Preferência ""P""","Não Disponível ""ND""","Preferência ""P""","Disponível  ""D""","Não Disponível ""ND""","Preferência ""P""","Disponível  ""D""","Não Disponível ""ND""","Preferência ""P""","Disponível  ""D""","Não Disponível ""ND""","Preferência ""P""","Disponível  ""D""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND"""
24/10/2018 22:36:25,abcd@gmail.com,Person Name,siape number,40 Horas - Sem DE,"Preferência ""P""","Preferência ""P""","Não Disponível ""ND""","Não Disponível ""ND""","Preferência ""P""","Não Disponível ""ND""","Preferência ""P""","Preferência ""P""","Não Disponível ""ND""","Não Disponível ""ND""","Preferência ""P""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND"""
24/10/2018 22:38:37,abcd@gmail.com,Person Name,siape number,DE- Dedicação Exclusiva,,"Disponível  ""D""","Disponível  ""D""",,"Preferência ""P""","Preferência ""P""",,"Preferência ""P""","Preferência ""P""",,"Preferência ""P""","Preferência ""P""",,"Disponível  ""D""","Disponível  ""D""","Não Disponível ""ND""","Não Disponível ""ND"""
25/10/2018 08:11:31,abcd@gmail.com,Person Name,siape number,DE- Dedicação Exclusiva,,"Preferência ""P""","Disponível  ""D""",,"Preferência ""P""",,,"Preferência ""P""","Disponível  ""D""",,"Preferência ""P""","Disponível  ""D""","Disponível  ""D""","Preferência ""P""","Não Disponível ""ND""",,
25/10/2018 08:50:03,abcd@gmail.com,Person Name,siape number,40 Horas - Sem DE,"Não Disponível ""ND""","Disponível  ""D""","Disponível  ""D""","Não Disponível ""ND""","Disponível  ""D""","Preferência ""P""","Não Disponível ""ND""","Disponível  ""D""","Preferência ""P""","Não Disponível ""ND""","Disponível  ""D""","Preferência ""P""","Não Disponível ""ND""","Disponível  ""D""","Preferência ""P""","Preferência ""P""","Não Disponível ""ND"""
25/10/2018 10:13:04,abcd@gmail.com,Person Name,siape number,DE- Dedicação Exclusiva,"Disponível  ""D""","Preferência ""P""","Não Disponível ""ND""","Preferência ""P""","Não Disponível ""ND""","Disponível  ""D""","Disponível  ""D""","Preferência ""P""","Disponível  ""D""","Disponível  ""D""","Preferência ""P""","Não Disponível ""ND""","Preferência ""P""","Preferência ""P""","Disponível  ""D""","Não Disponível ""ND""","Disponível  ""D"""
25/10/2018 13:13:56,abcd@gmail.com,Person Name,siape number,20 Horas,"Disponível  ""D""","Disponível  ""D""","Não Disponível ""ND""","Disponível  ""D""","Não Disponível ""ND""","Não Disponível ""ND""","Disponível  ""D""","Disponível  ""D""","Não Disponível ""ND""","Disponível  ""D""","Disponível  ""D""","Não Disponível ""ND""","Disponível  ""D""","Disponível  ""D""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND"""
30/10/2018 11:15:43,abcd@gmail.com,Person Name,siape number,DE- Dedicação Exclusiva,"Não Disponível ""ND""","Disponível  ""D""","Disponível  ""D""","Não Disponível ""ND""","Preferência ""P""","Preferência ""P""","Não Disponível ""ND""","Preferência ""P""","Preferência ""P""","Não Disponível ""ND""","Preferência ""P""","Preferência ""P""","Não Disponível ""ND""","Disponível  ""D""","Disponível  ""D""","Não Disponível ""ND""","Não Disponível ""ND"""
30/10/2018 20:31:35,abcd@gmail.com,Person Name,siape number,,,,,,,,,,,,,,,,,,
31/10/2018 00:36:50,abcd@gmail.com,Person Name,siape number,DE- Dedicação Exclusiva,"Disponível  ""D""","Disponível  ""D""","Disponível  ""D""","Disponível  ""D""","Disponível  ""D""","Disponível  ""D""","Disponível  ""D""","Disponível  ""D""","Disponível  ""D""","Disponível  ""D""","Disponível  ""D""","Disponível  ""D""","Disponível  ""D""","Disponível  ""D""","Disponível  ""D""","Disponível  ""D""","Disponível  ""D"""
31/10/2018 01:36:19,abcd@gmail.com,Person Name,siape number,DE- Dedicação Exclusiva,"Não Disponível ""ND""","Preferência ""P""","Preferência ""P""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND""","Preferência ""P""","Disponível  ""D""","Não Disponível ""ND""","Preferência ""P""","Disponível  ""D""","Não Disponível ""ND""","Preferência ""P""","Disponível  ""D""","Não Disponível ""ND""","Não Disponível ""ND"""
15/11/2018 21:51:19,abcd@gmail.com,Person Name,siape number,DE- Dedicação Exclusiva,"Preferência ""P""","Disponível  ""D""","Não Disponível ""ND""","Preferência ""P""","Disponível  ""D""","Não Disponível ""ND""","Preferência ""P""","Disponível  ""D""","Não Disponível ""ND""","Preferência ""P""","Disponível  ""D""","Não Disponível ""ND""","Preferência ""P""","Disponível  ""D""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND"""
23/11/2018 10:18:20,abcd@gmail.com,Person Name,siape number,DE- Dedicação Exclusiva,"Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND""","Disponível  ""D""","Disponível  ""D""","Não Disponível ""ND""","Disponível  ""D""","Disponível  ""D""","Não Disponível ""ND""","Disponível  ""D""","Disponível  ""D""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND"""
23/11/2018 17:27:43,abcd@gmail.com,Person Name,siape number,20 Horas,"Não Disponível ""ND""","Não Disponível ""ND""","Disponível  ""D""","Não Disponível ""ND""","Não Disponível ""ND""","Preferência ""P""","Não Disponível ""ND""","Não Disponível ""ND""","Disponível  ""D""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND""","Não Disponível ""ND""","Preferência ""P""","Disponível  ""D""","Preferência ""P"""
